,S.No.,Name,CMP Rs.,Prom. Hold. %,Debt Rs.Cr.,NP Qtr Rs.Cr.,6mth return %,1Yr return %,3Yrs return %,All time high Rs.,All time low Rs.,P/E,EPS 12M Rs.,Vol 1d,IV Rs.,PB X PE,CMP / BV,Mar Cap Rs.Cr.,Sector
0,1.0,Hind.Aeronautics,5126.95,71.64,1.16,3976.63,25.46,11.38,83.06,5675.0,224.0,41.02,125.07,7087114,1725.48,402.0,9.8,342905.79,Aerospace & Defence
1,2.0,Bharat Electron,363.9,51.14,60.75,1311.6,29.52,52.96,67.4,371.15,5.5,53.3,6.83,71674137,89.55,802.7,15.06,266040.81,Aerospace & Defence
2,3.0,Mazagon Dock,3524.75,84.83,36.17,807.04,79.44,188.74,188.72,3579.0,82.0,51.68,68.2,17647411,1183.26,1008.28,19.51,142188.07,Aerospace & Defence
3,4.0,Solar Industries,14014.5,73.15,1198.12,337.5,40.13,68.98,70.17,14340.0,18.3,113.02,124.02,261991,1788.48,3777.13,33.42,126836.48,Aerospace & Defence
4,5.0,Bharat Dynamics,1841.85,74.93,2.95,147.13,86.15,78.01,72.93,1940.0,72.65,119.35,15.43,11198564,185.45,2159.04,18.09,67513.45,Aerospace & Defence
5,6.0,Cochin Shipyard,2034.6,67.91,500.83,284.7,55.11,51.29,131.63,2979.45,104.5,63.5,32.04,37891749,548.29,605.79,9.54,53520.51,Aerospace & Defence
6,7.0,Garden Reach Sh.,2480.8,74.5,9.67,244.25,76.46,150.45,101.02,2834.6,77.0,53.87,46.04,15742150,1276.2,736.4,13.67,28413.66,Aerospace & Defence
7,8.0,ITI,279.8,90.0,1700.96,-48.88,-4.12,-8.29,47.19,592.85,12.2,-59.78632478632479,-4.68,887777,279.8,-990.6594017094018,16.57,26920.16,Aerospace & Defence
8,9.0,Zen Technologies,1794.75,49.05,62.07,42.67,1.58,89.45,121.04,2627.95,5.13,76.26,24.64,1102960,1021.17,791.58,10.38,16205.81,Aerospace & Defence
9,10.0,Data Pattern,2869.15,42.41,6.66,44.66,32.38,-3.31,58.44,3655.0,575.0,89.78,31.94,2661447,1215.9,1068.38,11.9,16055.61,Aerospace & Defence
10,11.0,BEML Ltd,3659.15,54.03,648.78,24.41,-3.62,-1.24,46.3,5489.15,85.86,58.25,62.93,2056980,579.69,328.53,5.64,15248.46,Aerospace & Defence
12,13.0,Astra Microwave,1073.6,6.54,306.46,47.43,42.65,42.32,65.84,1099.0,21.55,75.82,14.16,2958716,254.83,788.53,10.4,10191.77,Aerospace & Defence
13,14.0,Mishra Dhatu Nig,417.65,74.0,440.0,25.27,30.44,-6.32,33.29,547.5,86.05,78.01,5.35,3531758,83.1,453.24,5.81,7825.23,Aerospace & Defence
14,15.0,Paras Defence,1800.1,57.05,24.02,20.83,83.51,149.07,43.1,1817.4,445.55,118.0,15.75,8254617,360.42,1336.94,11.33,7255.66,Aerospace & Defence
16,17.0,MTAR Technologie,1637.35,31.76,183.7,16.33,4.08,-11.57,4.45,2920.35,860.0,112.64,14.54,790760,422.81,809.88,7.19,5037.23,Aerospace & Defence
17,18.0,Apollo Micro Sys,140.2,55.12,211.57,18.44,48.7,36.43,126.08,161.75,3.95,76.59,1.87,20476302,36.17,571.36,7.46,4292.57,Aerospace & Defence
19,20.0,Avantel,122.15,38.57,26.33,7.36,-11.28,10.33,87.7,212.68,0.36,53.99,2.26,4059621,81.31,704.57,13.05,3234.8,Aerospace & Defence
21,22.0,NIBE,1518.25,53.74,71.48,1.94,-11.19,1.99,212.6,2245.4,5.85,74.4,22.16,117079,827.0,723.17,9.72,2168.07,Aerospace & Defence
22,23.0,Jaykay Enter.,174.7,62.31,41.5,5.39,58.75,128.43,68.14,185.0,0.73,141.48,1.31,522662,59.95,901.23,6.37,2137.79,Aerospace & Defence
23,24.0,Sika Interplant,853.35,71.72,0.0,7.91,77.97,77.63,82.36,868.95,2.44,70.45,11.95,148453,301.19,1028.57,14.6,1809.18,Aerospace & Defence
25,26.0,Krishna Defence,920.8,62.27,13.17,10.6,34.51,113.92,127.7,1130.0,53.05,71.06,12.96,111250,329.92,747.55,10.52,1261.96,Aerospace & Defence
27,28.0,Taneja Aerospace,358.65,52.02,0.22,6.12,-11.35,-20.66,40.36,710.0,8.59,50.59,7.09,14834,73.15,325.29,6.43,914.58,Aerospace & Defence
29,30.0,Kavveri Defence,51.5,15.14,5.84,2.21,21.27,198.61,71.1,309.45,1.65,70.42,1.13,163524,16.88,114.78,1.63,177.44,Aerospace & Defence
30,1.0,HDFC Bank,1933.65,0.0,3345503.8,19284.57,14.29,32.49,13.76,1978.9,44.8,20.91,92.51,8575138,1321.44,59.8,2.86,1480361.81,Banks
31,2.0,ICICI Bank,1453.65,0.0,1860520.84,14353.69,15.68,28.55,26.99,1458.7,45.88,20.31,71.65,7365820,889.42,67.43,3.32,1036286.61,Banks
32,3.0,St Bk of India,791.85,57.43,6050755.26,20379.46,-1.51,-2.44,19.23,912.1,54.15,9.11,86.91,15379093,915.44,13.21,1.45,706739.78,Banks
33,4.0,Kotak Mah. Bank,2107.9,25.88,592329.51,4932.76,23.44,26.08,4.63,2301.9,28.53,21.78,111.29,2135524,1488.65,57.93,2.66,419133.12,Banks
